id,additional_information,source_comments
115942,"Note: Upon review of records status 0-2 that was conducted on 04/08/2021, change to status of 3, open source, Party had a chance to review following our outreach emails in 2021.

The accused are Lagamanna Nayik, 26, of Hukkeri taluk and Mallappa Doolappagol,38, of Belagavi city. The accused were produced before the Belagavi 4th JMF Ccourt.  The police are on the lookout for the absconding accused.
https://timesofindia.indiatimes.com/city/hubballi/ivory-smuggling-racket-busted-in-belagavi/articleshow/79116866.cms","The Times of India; 2020-11-09; seizure of 7 tusks weighing a total of 410 g; two arrests in Hosavantamuri village, India
https://timesofindia.indiatimes.com/city/hubballi/ivory-smuggling-racket-busted-in-belagavi/articleshow/79116866.cms"
118016,"Six Sikkim residents, including a constable of the India Reserve Battalion (IRB), were arrested with a tusk early on Monday [15/02/2021] from the Dooars area of Jalpaiguri district. A team of Baikunthapur forest division busted the poaching and animal parts smuggling gang. A forester said IRB constable Ganesh Chhetri was the alleged mastermind of the racket. â€œWe suspect he used his work identity to conceal the crimes,â€ the forester added. According to sources in the forest department, the team was tipped off about an animal parts deal to be struck at a roadside eatery in Odlabari, under Malbazar subdivision of Jalpaiguri, some 40km from here. A team led by Sanjay Dutta, range officer of Sarugarah forest range of Baikunthapur, reached the spot. â€œAround 2am, we spotted the group in front of the eatery. As we challenged them, two fled but the remaining six were caught with a vehicle. We found an elephant task weighing around 1.19 kilos, in their possession,â€ Dutta said. He added that they could not produce any document to prove the legitimacy of the ivory. Those arrested were identified as Gandup Lepcha and Samson Lepcha of Sombarey, Dhan Bahadur Pradhan of east Sikkim, Rohit Tamang of Arithang, Dawa Sherpa of Namchi and Ganesh Chhetri of Upper Kolthang, and produced at the chief judicial magistrateâ€™s court in Jalpaiguri and sent to judicial custody for 14 days, a source said. Foresters came to know that the seized tusk was extracted from a wild elephant poached in Assam. â€œThe arrested persons are habitual poachers and have killed at least 15 wild animals that include elephants, rhinos and even the clouded leopard. They have managed to sell animal parts and made Rs 1.5 crores,â€ said a forester.
https://www.telegraphindia.com/west-bengal/six-sikkim-residents-including-one-irb-constable-nabbed-with-tusk/cid/1806799","The Telegraph; 2021-02-16; possession of 1 tusk weighing around 1.19 kg; six arrests from the Dooars area of Jalpaiguri district
https://www.telegraphindia.com/west-bengal/six-sikkim-residents-including-one-irb-constable-nabbed-with-tusk/cid/1806799"
115904,"Note: Upon review of records status 0-2 that was conducted on 04/08/2021, change to status of 3, open source, Party had a chance to review following our outreach emails in 2021.

Tianjin customs recently imposed administrative penalties on a case of illegally mailing ivory and whale teeth. Xue and Liu illegally mailed 8 pieces of ivory necklaces and 2 pieces of whale tooth products overseas by false declaration. According to the relevant provisions of the law, the parties have been fined 11,000 yuan, 285 grams of ivory products and 303 grams of whale teeth products were confiscate.
https://tech.sina.com.cn/roll/2020-04-17/doc-iircuyvh8365475.shtml","tech.sina.com.cn; 2020-04-17; 8 worked ivory pieces weighing a total of 285 g seized by Tianjin Customs
https://tech.sina.com.cn/roll/2020-04-17/doc-iircuyvh8365475.shtml

China's Wildlife Enforcement News Digest; 2020-04; same info as above"
118021,"Republic World; 2021-06-14
Bhawanipatna, Jun 13 (PTI) The putrefied carcass of a full grown female elephant was found in the periphery of Karlapat Wildlife Sanctuary in Odishas Kalahandi district, taking the jumbo death toll in this particular area to nine, officials said. The carcass was sighted in a revenue forest near Karlapat Wildlife Sanctuary by forest workers on Saturday [12/06/2021]. The stunted tusks of the elephant were found to have been removed. With this, nine elephant deaths have been reported during the last four and half months in and around the wildlife sanctuary, they said. The carcass of the female elephant, aged between 30 and 35 years, was recovered from Ranibahal revenue forest within the Silet Gram Panchayat in Thuamul Rampur block under DFO South division, the Divisional Forest Officer (DFO), Kalahandi South Division, T Ashok Kumar, said. Though the area is outside the Karlapat Wildlife Sanctuary area, it is located in its periphery. During the investigation, it was found that one Dana Majhi of Surumundi village was reportedly the main culprit behind the removal of the tusks. Kumar said the tusks were recovered by forest personnel from the house of Dana Majhi at Surumundi village. Though Majhi has escaped to the Muuchkund area of the Rayagada district, the forest department with the help of Rayagada forest staff is looking for him, Kumar said. The remaining elephants of the herd are being monitored by a joint team of Kalahandi South Division and Rayagada Division, he said. A post-mortem examination of the carcass was conducted by veterinary staff and samples of the internal organs were sent to the Centre for Wildlife Health in Cuttack and Odisha University of Agriculture and Technology in Bhubaneswar, for laboratory testing. Veterinary department sources said the death of the elephant is estimated to have taken place at least 20 days ago.
https://www.republicworld.com/india-news/general-news/elephant-carcass-found-in-periphery-of-odisha-s-karlapat-wildlife-sanctuary.html

The New Indian Express; 2021-06-14
BHAWANIPATNA: The carcass of an adult elephant was found in a partially decomposed state from Ranibahal revenue forest on the outskirts of Karlapat wildlife sanctuary in Kalahandi's Thuamul Rampur block on Saturday. The tushes of the female elephant, aged around 35 years, were missing from the carcass. It is believed that the jumbo got separated from its herd and died around 20 days back. On being informed, forest officials rushed to the spot, which is near Kardapadar beat under Silet panchayat. During investigation, it was ascertained that one Dana Majhi of Surumundi village and his associates had removed the tushes from the carcass. Kalahandi divisional forest officer (DFO), South T Ashok Kumar said the tushes were recovered from Dana's house. Two persons were also arrested for their involvement in removing the tushes. They are Sani Majhi of Surumundi and Prashant Kaushalya of Mutukuni. However, prime accused Dana is on the run. The DFO informed that Dana has reportedly escaped to Rayagada district. The Rayagada forest officials have been informed and efforts are on to nab him, he added. Sources said it is yet to be ascertained if the elephant was killed by poachers or died of any other cause. A veterinary team conducted postmortem of the carcass and samples of its lungs, intestine and bone marrow were sent to Animal Disease Research Institute, Cuttack and Centre for Wildlife Health at OUAT, Bhubaneswar for testing. Kumar said the movement of the remaining elephants of the herd, which is roaming in and around the sanctuary, is being monitored with a joint team of Kalahandi and Rayagada forest personnel. This is the second elephant death reported from Karlapat wildlife sanctuary in the month. In the first week of June, the carcass of a six-month-old calf was found at Katingkuna within the sanctuary. As many as nine elephants have died in and around the sanctuary in the last five months. In February this year, carcasses of five female elephants and two calves were found inside the sanctuary. The deaths were attributed to haemorrhagic septicemia.
https://www.newindianexpress.com/states/odisha/2021/jun/14/one-more-elephant-carcass-found-near-odishas-karlapat-wildlife-sanctuary-2315909.html","Republic World; 2021-06-14; recovery of one female carcass from Ranibahal revenue forest, tusks had been removed; two arrests
https://www.republicworld.com/india-news/general-news/elephant-carcass-found-in-periphery-of-odisha-s-karlapat-wildlife-sanctuary.html

The New Indian Express; 2021-06-14; same info as above
https://www.newindianexpress.com/states/odisha/2021/jun/14/one-more-elephant-carcass-found-near-odishas-karlapat-wildlife-sanctuary-2315909.html"
115943,"Note: Upon review of records status 0-2 that was conducted on 04/08/2021, change to status of 3, open source, Party had a chance to review following our outreach emails in 2021.

Sambad English Bureau; 2020-12-07
Forest officials on Monday seized animal hides in Dhenkanal district and arrested three persons, including a government schoolteacher, in this connection. The accused were identified as Salagaon Primary School teacher Narendra Digi of Jamunali village under the Gondia police limits, and Anant Murmu and Laxman Murmu of Kalashpur village under Kankadahada block. The officials, acting on a tipoff, intercepted Digi near Deogaon under the Kapilash Forest Range when he was carrying animal hides and body parts in the side box of his motorcycle. The three accused were forwarded to court. According to reports, the officials, acting on a tip-off, intercepted Digi near Deogaon under Kapilash Forest Range when he was carrying animal hides and body parts inside the side box of his motorcycle. While searching the vehicle, the officials recovered two leopard hides, elephant tusk, deer hide from the side box. Later, a search was carried out at his house during which deer horn, bear teeth and nails, hunting weapons were seized. Digi told the officials that he had purchased the animal hides from Anant Murmu and Laxman Murmu. The three accused have been forwarded to court. As many as five poachers were arrested from Kapilash Reserve Forest yesterday when they were roaming in the forest for hunting. Country-made guns and pangolin scales were seized from their possession.
https://sambadenglish.com/animal-hides-seized-in-odishas-dhenkanal-teacher-among-three-held/

Argus; 2020-12-07
Tightening the noose around the necks of wildlife mafia, Forest Department officials on Monday arrested at least three persons and seized animal hides and other body parts worth lakhs from their possession under Kapilash Forest Range. The held persons have been identified as Narendra Digi, a teacher by profession and a resident of Jamunali village under Gondia Police limits, Anant Murmu and Laxman Murmu of Kalashpur village under Kankadahada block. Acting upon a tip-off on animal body part smuggling Kapilash Forest Range officials intercepted Digi near Deogaon while he was en-route to an unknown place to deliver a wildlife consignment. During the search of his bike dickey, two leopard hides, one elephant tusk and one deer hide were seized. Later during a search conducted at Digiâ€™s house one tiger skull, two deer horns, nine bear nails, eight tiger teeth, one set boar teeth, two tortoise shell and a number of hunting instruments were seized. Based on the information given by Digi the Forest Department sleuths took Anant and Laxman into custody from their house. Anant and Laxman were involved in selling smuggled wildlife items to him, said Digi. The accused have been forwarded to court after their arrest.
https://argusnews.in/article/odisha/animal-hides-body-parts-worth-lakhs-seized-in-dhenkanal-3-held","Sambad English Bureau; 2020-12-07; seizure of 1 tusk; three arrests in Dhenkanal district, India
https://sambadenglish.com/animal-hides-seized-in-odishas-dhenkanal-teacher-among-three-held/

Argus; 2020-12-07; same info as above
https://argusnews.in/article/odisha/animal-hides-body-parts-worth-lakhs-seized-in-dhenkanal-3-held"
114756,"The Borneo Post; 2020-02-26
A 50-year-old Indonesian man (Supriadi Juman) was sentenced by the Sessions Court here yesterday to an 18-month imprisonment and fined RM50,000, in default, nine months in jail, for possessing two elephant tusks at IOI Estate, Beluran. According to facts of the case, on October 19, 2019, Sandakan Wildlife officers and three Beluran Crime Investigation Department personnel had found a dead elephant with both its tusks missing. On October 23, 2019, police managed to find the accused who was in possession of two elephant tusks. The accused had then admitted to have extracted the tusks to make a necklace. The accused was officially detained on October 25.  https://www.theborneopost.com/2020/02/26/indonesian-jailed-fined-over-two-elephant-tusks/

The Star; 2020-02-25
An Indonesian estate worker was jailed 18 months and fined RM50,000 by the Sandakan Sessions Court on Tuesday (Feb 25) for possessing two elephant tusks. Supriadi Juman, 50, was also ordered by Sessions Court judge Indra Ayub to be jailed for an additional nine months if he failed to pay the RM50,000 fine. Supriadi earlier pleaded guilty to possessing the two elephant tusks for ornamental purposes at the Bingingan Estate 2 in Beluran district at about 1pm on Oct 23, 2019. He was charged under Section 41(1) of the Sabah Wildlife Conservation Enactment 1997, which carries a maximum jail term of not less than one year to a maximum of five years and a minimum fine of RM50,000 and not more than RM250,000. Prior to sentencing, Supriadi pleaded for a lenient sentence, saying that he has to look after his wife and two school-going children back in his village in Indonesia. Earlier, deputy public prosecutor Mark Kenneth Netto in tendering the facts of the case said that a Sabah Wildlife Department team along with Beluran police officers launched an investigation following the discovery of a dead elephant on Oct 19. In follow-up operations, Supriadi was arrested in suspicion of taking the tusks.
https://www.thestar.com.my/news/nation/2020/02/25/estate-worker-jailed-for-18-months-fined-rm50000-for-taking-tusks-of-dead-elephant","The Borneo Post; 2020-02-26; possession of 2 tusks; one arrest in Sandakan, Malaysia
https://www.theborneopost.com/2020/02/26/indonesian-jailed-fined-over-two-elephant-tusks/

The Star; 2020-02-25; same info as above
https://www.thestar.com.my/news/nation/2020/02/25/estate-worker-jailed-for-18-months-fined-rm50000-for-taking-tusks-of-dead-elephant"
118023,"North East Now; 2021-07-01
The police on Thursday [01/07/2021] arrested two smugglers from Panchali area in Assamâ€™s Dibrugarh town and seized one suspected rhino horn, an elephant tusk and 19 grams of heroin from their possession. The accused have been identified as Meraj Khan and Aniz Rahman, both residents of Panchali. The police also recovered Rs 1.30 lakh from their possession. Confirming the development, Dibrugarh SP Shwetank Mishra said, â€œAfter receiving information, we conducted a raid at the residence of Miraj Khan and seized one suspected rhino horn, one piece suspected elephant tusk and 19 grams of heroin from his possession.â€ Mishra further said, â€œOur interrogation is on. Right now, we cannot disclose more information because our investigation is at a preliminary stage.â€ â€œBoth Khan and Rahman were involved in drug trafficking and deals with illegal smuggling of animal parts,â€ said a source. â€œIt is a big development for Dibrugarh police and if things are properly investigated then many things will come to light,â€ said the source.
https://nenow.in/north-east-news/assam/assam-2-smugglers-arrested-in-dibrugarh-rhino-horn-tusk-heroin-recovered.html

The Sentinel Assam; 2021-07-03
DIBRUGARH: Police on the basis of reliable input, carried out raid at Panchali area and recovered a full size rhino horn, a piece of elephant tusk, 19 grams heroin hidden in a box and cash Rs 1.30 lakh from the residence of one Meeraj Khan. Superintendent of Police Shwetank Mishra stated that the rhino horn and suspected elephant tusk were found in the water tank of Meeraj Khan wrapped in a plastic sheet. Further search in Meeraj Khan's residence led to recovery of a box containing 19 grams of heroin and cash Rs 1.30 lakh, some instruments suspected to be used in consuming drugs and two mobile phones from his possession. Police arrested drug peddler Meeraj Khan and his close associate Anish Khan. SP Mishra also disclosed that recovery of rhino horn and elephant task from the arrested drug peddlers' showed their involvement in wildlife smuggling. Police interrogation is on.
https://www.sentinelassam.com/north-east-india-news/assam-news/rhino-horn-elephant-tusk-1-arrested-at-panchali-area-545249","North East Now; 2021-07-01; seizure of 1 tusk; two arrests at Panchali area
https://nenow.in/north-east-news/assam/assam-2-smugglers-arrested-in-dibrugarh-rhino-horn-tusk-heroin-recovered.html

The Sentinel Assam; 2021-07-03; same info as above
https://www.sentinelassam.com/north-east-india-news/assam-news/rhino-horn-elephant-tusk-1-arrested-at-panchali-area-545249
"
116000,"Three people were arrested in Riau on Wednesday for allegedly trading elephant tusks. They were identified as YP, a 52-years-old teacher from Jambi, YS, a 52-year-old man working for a private company, and WG, a 68-year-old farmer from Riau. ""Each individual has a different role. YP was the seller, YS acted as the middleman, while WG was a potential customer,"" Riau Police special crime department head Sr. Comr. Andri Sudarmadi said on Friday. Local authorities first received a tip about illegal ivory trading several months ago, he said, prompting the Riau Police to form a special investigation team to track down the perpetrators involved. On Wednesday, the team followed the three suspects as they drove from WP's house to a workshop in Jake village, Central Kuantan, a district in Kuantan Senggigi regency. The three were arrested as they were making a transaction inside the workshop at around 11 a.m., Andri said. Police personnel found two 80-centimeter-long elephant tusks wrapped in a burlap sack in the suspects' car. The tusks were carved and filled with cement. ""We suspect that the potential buyer planned to resell the tusks in Pekanbaru,"" he said. ""We're currently investigating the case further to track down and arrest the poachers involved."" The police are coordinating with the Riau Natural Resource Conservation Agency (BBKSDA) to determine where the tusks came from. According to the police, the suspects told them it was their first time attempting to trade elephant tusks. ""They were interested in selling elephant tusks because of their high economic value. A pair of tusks can cost Rp 100 million [US$7,033],"" Andri said. The suspects were charged under Article 21 and Article 40 of Law No.5/1990 on natural resources and ecosystem conservation and Article 55 of the Criminal Code, which carries a maximum sentence of five years in prison and a fine of Rp 100 million. Poaching is a major cause of elephant deaths in the country every year. The problem is exacerbated by rampant deforestation, which has reduced the elephantsâ€™ natural habitat and brought them into conflict with humans.
https://www.thejakartapost.com/news/2020/11/13/three-arrested-for-alleged-ivory-trade-in-riau.html","The Jakarta Post; 2020-11-13; seizure of 2 tusks; three arrests in Riau, Indonesia
https://www.thejakartapost.com/news/2020/11/13/three-arrested-for-alleged-ivory-trade-in-riau.html"
118032,"Deogarh: Deogarh Forest range officials on Saturday [14/08/2021] busted an ivory smuggling racket at Sado village under the Tileibani block of the district with the arrest of two persons. The accused have been identified as Pabitra Majhi (41) and Manaphula Majhi (32) of Bhutel village. Acting on an intelligence input, the forest range sleuths raided Sado village and arrested two persons for allegedly trying to sell the tusks. They had planned to sell each tusk 79 cm of 4.7 kg. However, the forest range officials are yet to lay their hands on the buyers. â€œWe are trying to find out the source from where they received the tusks. They appeared to be the middlemen. During the investigation, we will try to identify the other members of the syndicate, including the poachers,â€ a forest range official said. The forest department has registered a case under various sections of the Indian Penal Code and Section 51 of the Wildlife (Protection) Act 1972.
https://pragativadi.com/ivory-smuggling-racket-busted-in-deogarh-two-held/","Pragativadi; 2021-08-14; attempt to sell 2 tusks weighing a total of 9.4 kg; two arrests at Sado village
https://pragativadi.com/ivory-smuggling-racket-busted-in-deogarh-two-held/"
118038,"Two poachers were arrested with six ivory points in Makabana in the Gabonese province of Nyanga (south), police sources said on Friday [28/05/2021]. The suspects, all of Gabonese nationality, were arrested in Makabana where they were preparing to embark for Libreville, the capital. Informed by local residents of their unusual presence, the judicial police officers organized an investigation which resulted in their arrest. The individuals were arrested with a travel bag in which they concealed the ivory and stolen organs, facing up to 10 years in prison. Due to the poaching of ivory tips, elephants are threatened with extinction in many places in Gabon. Due to poaching, the elephant population in Central Africa has declined by over 60% over the past decade.
http://french.china.org.cn/foreign/txt/2021-05/28/content_77534068.htm","french.china.org.cn; 2021-05-28; seizure of 6 tusks; two poachers arrested; offenders from Gabon
http://french.china.org.cn/foreign/txt/2021-05/28/content_77534068.htm"
118044,"Two of the Democratic Republic of Congoâ€™s most prolific wildlife traders have been handed jail terms this year, in a rare spell of conservation wins for Congolese law enforcement. Salomon Mpay 51, was arrested at a Kinshasa hotel on Jan. 30, following a two-year joint investigation between the Congolese Institute for the Conservation of Nature (ICCN) and Conserv Congo, a Kinshasa-based not-for-profit. Mpay, who goes by the pseudonym of â€œThe King,â€ was caught with 35 kilograms (77 pounds) of cut-up ivory, which he intended to sell to an undercover agent posing as a client. He was also in possession of almost 2.5 metric tons of pangolin scales. However, delays in issuing a search warrant following his arrest meant accomplices had time to move the contraband before the authorities could return to seize the goods. Photos on his cellphone indicated a further ivory stockpile of 3 metric tons kept at an undisclosed location; investigators are actively looking for the items. Similar quantities of pangolin scales and ivory have sold for as much as $8 million and $6 million, respectively. On April 22 [2021], Gombe Magistrates Court in Kinshasa, the capital, sentenced Mpay to two years in prison. While Mpayâ€™s arrest has been hailed by conservationists as a rare victory in the fight against the illegal wildlife trade in DRC, lawyers acting on behalf of ICCN, the state-run wildlife authority, and Conserv Congo have lodged an appeal, through the public prosecutorâ€™s office, describing the sentence as unduly lenient for a transnational wildlife trafficker whose career spans three decades. â€œHe is one of the few local traders that I know of who has got a passport full of stamps â€” mainly in Africa,â€ Conserv Congo founder Adams Cassinga told Mongabay. Mpay is linked to a number of traffickers across the continent, including in Zambia, Uganda, Burundi, South Sudan, Central African Republic, Angola, Republic of Congo, Nigeria, and Sierra Leone. Documents in his possession at the time of his arrest attested to his dealings with people in Southeast Asia, where he is known to have sent multiple consignments of wildlife contraband. â€œHe is a major link. A network is a chain of people, you can cut the link â€” his conviction wonâ€™t affect the trade, per se, but it will affect the organization,â€ Cassinga added. The International Fund for Animal Welfare (IFAW) is providing financial and legal assistance to support the appeal.
https://news.mongabay.com/2021/05/tale-of-two-traffickers-is-a-rare-spell-of-congolese-conservation-convictions/
https://rhinoreview.org/tale-of-two-traffickers-is-a-rare-spell-of-congolese-conservation-convictions/
","Mongabay; 2021-05-28; seizure of 35 kg of cut-up ivory; one arrest in Kinshasa
https://news.mongabay.com/2021/05/tale-of-two-traffickers-is-a-rare-spell-of-congolese-conservation-convictions/

Rhino Review; 2021-05-31; same info as above (website text is identical)
https://rhinoreview.org/tale-of-two-traffickers-is-a-rare-spell-of-congolese-conservation-convictions/"
118048,"2 traffickers arrested with 2 elephant tusks, weighing just under 40 kg. One of the traffickers is a pastor and the second is a military man. The military man was extremely violent and tried to escape during the arrest. He attempted to corrupt officers when behind bars. He is based at the border with Gabon and had transported the ivory two months earlier to Dolisie, as part of his scheme to sell the ivory. He abandoned his post at the border and used his status to conduct the illegal business. He concealed the ivory in a military bag.
https://www.eagle-enforcement.org/news/2-traffickers-arrested-with-2-elephant-tusks-A698/","EAGLE; 2021-12-23; seizure of 2 tusks cut into 6 pieces weighing just under 40 kg; two arrests in Congo
https://www.eagle-enforcement.org/news/2-traffickers-arrested-with-2-elephant-tusks-A698/"
118058,Two persons were arrested for hunting of spotted deer and illegal possession of elephant tusk in punjur range of BRT yesterday and case is booked. https://twitter.com/brt_tiger/status/1397035943782092802,"BRT Tiger Reserve; 2021-05-21; possession of 1 tusk; two arrests
https://twitter.com/brt_tiger/status/1397035943782092802"
113548,"Note: Upon review of records status 0-2 that was conducted on 04/08/2021, change to status of 3, Party had a chance to review following our outreach emails in 2021.

The Times of India; 2020-01-15
The accused were identified as Roshan Ram Kumar (29) of Tripunithura, Shebin Sasi (28) of Eroor, Midhun T M (26) of Irinjalakuda, Sanoj T A (30) of Paravur and Shemeer K R (36) of Chendamangalam. According to forest officers, the accused were arrested around 2.30pm while they were fixing a deal to sell the elephant tusks at Kumarâ€™s apartment at Thripunithura. They were arrested based on a tip-off from the intelligence wing of the forest department.
https://timesofindia.indiatimes.com/city/kochi/5-arrested-with-elephant-tusks/articleshow/73258057.cms?utm_source=contentofinterest&utm_medium=text&utm_campaign=cppst

The New Indian Express; 2020-01-15
A team of forest officers raided an apartment in Tripunithura here and arrested five youths while they were trying to sell two elephant tusks on Tuesday. P A Jaleel, Range Forest Officer, flying squad, Perumbavoor, said the elephant tusks, weighing 1.046kg and 1.226kg, were seized from the five youths â€“ Roshan Ramkumar, 29, of Tripunithura; Shebin Sasi, 28, of Eroor; Midhun T M, 26, of Irinjalakuda; Sanoj T A, 30, and Shemeer K R, 36, of Paravoor. The gang had been demanding Rs 1 crore for the tusks, which are said to be worth Rs 40 lakh in the international market. Posing as prospective buyers, a team led by Ernakulam Forest flying squad DFO Raju K Francis contacted the gang, which was staying at Jasmine Apartment on Irumpanam road.  This is the second elephant tusk seizure this month. On January 6, employees of Valara forest station under the Neriyamangalam range had arrested a man and seized two elephant tusks. The arrest came following a search which was launched after an elephant bone was found on the land owned by Abdul Salim of Kullamankuzhi. A male elephant had been electrocuted and Santhosh, 45, a worker, had cut its tusks and kept them in his house. The team led by range officer Arun K Nair and deputy ranger R Ajay had raided his house and recovered the tusks.
https://www.newindianexpress.com/states/kerala/2020/jan/15/5-held-with-elephant-tusks-worth-rs-40-lakh-in-kochi-2089651.html","The Times of India; 2020-01-15; attempt to sell 2 tusks (one found in a half-sculpted state); five arrests in Kochi, India
https://timesofindia.indiatimes.com/city/kochi/5-arrested-with-elephant-tusks/articleshow/73258057.cms?utm_source=contentofinterest&utm_medium=text&utm_campaign=cppst

The New Indian Express; 2020-01-15; attempt to sell 2 tusks weighing a total of 2.272 kg and worth Rs 40 lakh
https://www.newindianexpress.com/states/kerala/2020/jan/15/5-held-with-elephant-tusks-worth-rs-40-lakh-in-kochi-2089651.html"
118062,"An adjutant of the national gendarmerie and a sergeant of the Congolese armed forces were arrested for ivory trafficking (illegal possession of ivory tusks) during an operation which saw the dismantling of a network of suspected ivory traffickers. Four civilians, members of this network, were also arrested during an operation carried out by elements of the National Gendarmerie. The six alleged traffickers who make up the network were arrested successively on January 27, 28, 31 and February 2, 2021 in Pointe-Noire, the economic capital of the Republic of Congo. This series of arrests was carried out with the support of agents from the Departmental Directorate of Forest Economy of Pointe Noire and PALF (Support Project for the Application of the Law on Wildlife). This punch operation allowed the seizure of four (4) ivory tusks, weighing 101.3 kg, representing approximately four (4) slaughtered elephants, several objects worked in ivory namely 20 sticks, 15 pendants, 04 round bracelets, 02 chopsticks with balls. Initially, four individuals were arrested, including two on 27 January [2021] and the other two on 28 January 2021 with an ivory tusk. The investigations into this case led to the arrest of two other members of this network. The adjutant was arrested on January 31, 2021 with two (2) ivory tusks and the sergeant arrested with an ivory tusk on February 2, 2021. This soldier of the Congolese armed forces confessed to having used his service weapon to shoot down an elephant in the forest of the district of Banda in the Department of Niari. The other five are being prosecuted for the offenses of illegal possession, circulation and marketing of the seized ivory tusks. Note that the arrested gendarme is also a sculptor and sells products worked in ivory. These alleged wildlife offenders, all of Congolese nationality, have all admitted the facts with which they are accused. They are said to be familiar with the illegal trade in wildlife products in the town of Pointe Noire. The ivory seized is believed to come from the villages of Konongo in the Department of Kouilou and Ngokosso in the District of Banda, Department of Niari. The latter will answer for their acts before the Congolese justice and risk sentences of up to five years of imprisonment and 5 million FCFA in fines, each. The illegal trade in wildlife products is leading to the extinction of wildlife species around the world. This illegal trafficking is the third most profitable form of trade after drugs and weapons. Recall that the elephant enjoys absolute protection in the Republic of the Congo following the 1991 decree as well as an act of the Sovereign National Conference. The species is threatened with extinction in many places in Congo due to poaching for its spikes. Article 27 of the Congolese law on the protection of this wildlife species states: ""the importation; export; the detention and transit on national territory of fully protected species; as well as their trophies are strictly prohibited; except special dispensation from the water and forestry administration; for the needs of scientific research â€.
https://groupecongomedias.com/demantelement-dun-reseau-majeur-de-presumes-trafiquants-divoire-a-pointe-noire-un-adjudant-et-un-sergent-aux-arrets/?fbclid=IwAR18k39kcTINRmCzSCLMduzoSGfVka97rFqbbjlh2rn8KCDhYs5b84-pU8g","Groupe Congo Medias; 2021-02-06; possession of 4 tusks weighing a total of 101.3 kg and other 41 worked ivory pieces; four arrests
https://groupecongomedias.com/demantelement-dun-reseau-majeur-de-presumes-trafiquants-divoire-a-pointe-noire-un-adjudant-et-un-sergent-aux-arrets/?fbclid=IwAR18k39kcTINRmCzSCLMduzoSGfVka97rFqbbjlh2rn8KCDhYs5b84-pU8g"
116454,"Police in Ruvumba Region have arrested ten people in possession of 12.13 kg of elephant tusks worth more than 34m/-.
https://www.ippmedia.com/en/news/police-seize-34-million-worth-elephant-tusks","IPP Media; 2021-09-11; possession of 12.13 kg of ivory tusk worth more than 34m/-; ten arrests at the Kitanda village, Tanzania
https://www.ippmedia.com/en/news/police-seize-34-million-worth-elephant-tusks"
113336,"EAGLE; 2019-06-15
Samuel Adama, 28, is of Ghanaian nationality and his accomplices, Yves Kevin Mihindou, a 31-year-old Gabonese, CÃ©dric Moundounga and Lewis Mouketou, two Gabonese aged 31 and 25 respectively, were arrested with 22 kg of ivory.
http://www.eagle-enforcement.org/news/4-traffickers-arrested-with-22-kg-of-ivory-A534/

Gabon News; 2019-06-18
The operation begins on Saturday, June 15, 2019 at 12 noon. Samuel Adama, 28, is a Ghanaian national. The team of conservationists, made up of agents of the judicial police (PJ) branch of the province of Nyanga (south-east Gabon) and agents of the provincial directorate of the same service, supported by the NGO Conservation Justice, surprised him in a motel room, a place more used by traffickers. He had in his possession an ivory point of about 22kg, cut into three pieces. At the origin of this important operation, reliable information reached the agents evoking the detention and marketing in progress of an ivory point in a motel in the city of Tchibanga. In Nyanga province, not a month goes by without a case of wildlife trafficking. When questioned, the offender was not asked to denounce one of his accomplices, Yves Kevin Mihindou, a 31-year-old Gabonese. The latter will eventually be apprehended a few hours later, thanks to the tenacity of the police and members of the NGO Conservation Justice. He will admit that his dirty work was organized with two other accomplices. The two other accomplices wanted by the police were finally apprehended in turn on June 17 while they were in the village in the region of Dubinda-forest where the accomplices usually conduct their hunting party. They are CÃ©dric Moundounga and Lewis Mouketou, two Gabonese aged 31 and 25 respectively. The four offenders are currently in police custody at the PJ premises pending further proceedings. Law enforcement officers remain vigilant as their struggle continues.
http://gabonews.com/fr/actus/societe/article/tchibanga-un-ghaneen-surpris-avec-22-kg-d-ivoire","EAGLE; 2019-06-15; seizure of tusks cut into 3 pieces weighing a total 22 kg; four arrests in Gabon
http://www.eagle-enforcement.org/news/4-traffickers-arrested-with-22-kg-of-ivory-A534/

Gabon News; 2019-06-18; same info as above
http://gabonews.com/fr/actus/societe/article/tchibanga-un-ghaneen-surpris-avec-22-kg-d-ivoire

Conservation Justice; 2019-06-17; tusks worth 440,000 CFA"
116446,"2 traffickers arrested with a leopard skin and a piece of ivory. Good work of Tiffany abs her PALF team with the authorities.
https://www.eagle-enforcement.org/news/2-traffickers-arrested-with-a-leopard-skin-and-a-piece-of-ivory-A658/","EAGLE; 2021-05-20; seizure of 1 raw ivory piece; two arrests in Congo
https://www.eagle-enforcement.org/news/2-traffickers-arrested-with-a-leopard-skin-and-a-piece-of-ivory-A658/"
